№;Название;Описание;Фото
99;П-Кружка «Каппучино» стекло 300мл D=82,H=108,L=110мм прозр. (ПЕРСОНАЛ ПОД ЧАЙ);;/images/99.png
100;П-крышка к чайнику DIDON (092965)(Чайник 650 мл 10*18 см) 95190 (СЧИТАЕТ СВЕТА);;/images/100.png
101;"П-Кувшин «Колонна 1000»; стекло; 1л; D=11, 3, H=20, 2, L=14, 6см9(МОРС)";;/images/101.png
102;"П-Кувшин EVE  ""Tropic Summer"" с мет. ситом 1250мл, стекло (Брюссел Сталь)";;/images/102.png
103;П-Кухонные барные сервировочные щипцы для¶льда, сахара, лимона TORUS, длина 16 см.;;/images/103.png
104;П-Ложка для мисо-супа, Д15см,36шт/уп(ЛОЖКА ТОМ ЯМ);;/images/104.png
105;П-Ложка кофейная «Аркада Бэйсик» сталь нерж. ,L=119,B=24мм¶Артикул:¶03111833(ЛОЖКА КОФЕЙНАЯ) 03111824;;/images/105.png
106;П-Ложка чайная «Аркада Бэйсик» сталь нерж. ,L=145,B=29мм¶Артикул: 03111782(ЛОЖКА ЧАЙНАЯ);;/images/106.png
107;П-Лопатка для торта;;/images/107.png
108;"П-Мельница для соли/перца керамический механизм; дерево; D=7, H=35см; коричнев., серебрян.13200350LCV";;/images/108.png
109;П-Менаж масло/бальзамик;;/images/109.png
110;П-НОЖ ДЛЯ МАСЛА INOX 18/10;;/images/110.png
111;П-НОЖ ДЛЯ РЫБЫ INOX 18/10;;/images/111.png
112;П-НОЖ ДЛЯ СТЕЙКА INOX 18/10;;/images/112.png
113;"П-Перечница 50 мл. ""VENDANGE белый""";;/images/113.png
114;"П-Поднос прорезиненный овальный¶«Проотель»;фибергласс;,L=63,B=52см;коричнев";;/images/114.png
115;П-ПОДСТАВКА ДЛЯ САЛФЕТОК - 6 СМ. BUFFET & CATERING(единая);;/images/115.png
116;П-САЛАТНИК\ПИАЛА - 13 СМ. VENDANGE (Салатник-пиала КУТЬЯ);;/images/116.png
117;П-САЛАТНИК- 25 СМ. VENDANGE  (Тар-тар);;/images/117.png
118;П-Салатник THERAPY AURA 16 см, зеленый (ЗАВТРАК/КАША);;/images/118.png
119;"П-Сахарница 300 мл., 7х11 см. ""VENDANGE белый""";;/images/119.png
120;"П-Молочник 220 мл. ""VENDANGE белый""";;/images/120.png
121;"П-Сливочник фарфоровый 30 мл ""VENDANGE белый""(ПОД ТОМАТНУЮ ВОДУ) 093003";;/images/121.png
